id,start_ip_range,end_ip_range,is_fw,is_lp,type,is_v6
1,9FCB02C8,9FCB02C8,1,0,90,0
2,8E5DC08C,8E5DC08C,1,0,90,0
3,B94E152B,B94E152B,1,0,90,0
4,67ABB548,67ABB548,1,0,90,0
5,555FFA04,555FFA04,1,0,90,0
6,652BEFAE,652BEFAE,1,0,90,0
7,AE8EBAE8,AE8EBAE8,1,0,90,0
8,5CCD8456,5CCD8456,1,0,90,0
9,771CC279,771CC279,1,0,90,0
10,8B637A4B,8B637A4B,1,0,90,0
11,671C247A,671C247A,1,0,90,0
12,A49B815E,A49B815E,1,0,90,0
13,2604A880040000D0000000001A19C001,2604A880040000D0000000001A19C001,1,0,90,1
14,CA5C0736,CA5C0736,1,0,90,0
15,22943FC4,22943FC4,1,0,90,0
16,6A34EEE3,6A34EEE3,1,0,90,0
17,4E8753C3,4E8753C3,1,0,90,0
18,AE8F30CB,AE8F30CB,1,0,90,0
19,05BDAA82,05BDAA82,1,0,90,0
20,AF291D02,AF291D02,1,0,90,0
21,8890BC86,8890BC86,1,0,90,0
22,BCA6E772,BCA6E772,1,0,90,0
23,225F1CD5,225F1CD5,1,0,90,0
24,43E3E3BA,43E3E3BA,1,0,90,0
25,31CEE87B,31CEE87B,1,0,90,0
26,334DC33B,334DC33B,1,0,90,0
27,5D6B0188,5D6B0188,1,0,90,0
28,C60CD2D3,C60CD2D3,1,0,90,0
29,08D65390,08D65390,1,0,90,0
30,D94C34BA,D94C34BA,1,0,90,0
31,677FC669,677FC669,1,0,90,0
32,05659DEB,05659DEB,1,0,90,0
33,4DF5819D,4DF5819D,1,0,90,0
34,425E7DD6,425E7DD6,1,0,90,0
35,2DC5387C,2DC5387C,1,0,90,0
36,05BCD226,05BCD226,1,0,90,0
37,67935C09,67935C09,1,0,90,0
38,5CCD38DF,5CCD38DF,1,0,90,0
39,2D9702C4,2D9702C4,1,0,90,0
40,84944C4F,84944C4F,1,0,90,0
41,36C73784,36C73784,1,0,90,0
42,2D8A1031,2D8A1031,1,0,90,0
43,D440DEE3,D440DEE3,1,0,90,0
44,224B60F1,224B60F1,1,0,90,0
45,ACE9D418,ACE9D418,1,0,90,0
46,ADD4E806,ADD4E806,1,0,90,0
47,2B997452,2B997452,1,0,90,0
48,45317040,45317040,1,0,90,0
49,45317044,45317044,1,0,90,0
50,B91777E2,B91777E2,1,0,90,0
51,6DEDD51C,6DEDD51C,1,0,90,0
52,26040A000050002D02163EFFFE28E936,26040A000050002D02163EFFFE28E936,1,0,90,1
53,287F00EB,287F00EB,1,0,90,0
54,BCA60039,BCA60039,1,0,90,0
55,22C64AB1,22C64AB1,1,0,90,0
56,68F47A99,68F47A99,1,0,90,0
57,CB6B8193,CB6B8193,1,0,90,0
58,088C1D8F,088C1D8F,1,0,90,0
59,1FAC539C,1FAC539C,1,0,90,0
60,B23EE39F,B23EE39F,1,0,90,0
61,228ED6F5,228ED6F5,1,0,90,0
62,9FDFB94D,9FDFB94D,1,0,90,0
63,25BB95A8,25BB95A8,1,0,90,0
64,44B29CBC,44B29CBC,1,0,90,0
65,9B8A8834,9B8A8834,1,0,90,0
66,81D37CAD,81D37CAD,1,0,90,0
67,05BCD254,05BCD254,1,0,90,0
68,67B23805,67B23805,1,0,90,0
69,6881AB86,6881AB86,1,0,90,0
70,A747E2B9,A747E2B9,1,0,90,0
71,67159408,67159408,1,0,90,0
72,B9FA9540,B9FA9540,1,0,90,0
